epoch,clean_test_acc,test_asr,identification_rate
0,0.919888889,0.049666667,100
1,0.919888889,0.049666667,100
2,0.879222222,0.084777778,100
3,0.773,0.086333333,100
4,0.663666667,0.081444444,100
5,0.579888889,0.071,100
6,0.525444444,0.063333333,100
7,0.498111111,0.051333333,100
8,0.483666667,0.039333333,100
9,0.477888889,0.030555556,100
10,0.470333333,0.024111111,100
11,0.463555556,0.017777778,100
12,0.463333333,0.012333333,100
13,0.463777778,0.008777778,100
14,0.467222222,0.006111111,100
15,0.469777778,0.003888889,100
16,0.470777778,0.002777778,100
17,0.472,0.001444444,100
18,0.472777778,0.000777778,100
19,0.476111111,0.000222222,100
20,0.479666667,0,100
0,0.919,0.999444444,80
1,0.919,0.999444444,80
2,0.898333333,0.907444444,80
3,0.846888889,0.465777778,80
4,0.784,0.137555556,80
5,0.707111111,0.042222222,80
6,0.616111111,0.016222222,80
7,0.523333333,0.007333333,80
8,0.426111111,0.003333333,80
9,0.354,0.002222222,80
10,0.275222222,0.001333333,80
11,0.211111111,0.000555556,80
12,0.147666667,0.000444444,80
13,0.103666667,0.000222222,80
14,0.083888889,0.000222222,80
15,0.070222222,0,80
16,0.053,0,80
17,0.037222222,0,80
18,0.032555556,0,80
19,0.025,0,80
20,0.020666667,0,80
0,0.918444444,0.999888889,50
1,0.918444444,0.999888889,50
2,0.908888889,0.952888889,50
3,0.894222222,0.602333333,50
4,0.874444444,0.206777778,50
5,0.849777778,0.057555556,50
6,0.818333333,0.019777778,50
7,0.787222222,0.006555556,50
8,0.745666667,0.002444444,50
9,0.691666667,0.000333333,50
10,0.631333333,0.000111111,50
11,0.561777778,0,50
12,0.482333333,0,50
13,0.428666667,0,50
14,0.363,0,50
15,0.303333333,0,50
16,0.244777778,0.000111111,50
17,0.198333333,0,50
18,0.159111111,0,50
19,0.123777778,0,50
20,0.087555556,0,50
0,0.914111111,0.999777778,20
1,0.914111111,0.999777778,20
2,0.914111111,0.974888889,20
3,0.913555556,0.808444444,20
4,0.911555556,0.442222222,20
5,0.91,0.131111111,20
6,0.907222222,0.039666667,20
7,0.904888889,0.015444444,20
8,0.902444444,0.005888889,20
9,0.899111111,0.002777778,20
10,0.896888889,0.000555556,20
11,0.894111111,0.000111111,20
12,0.891888889,0,20
13,0.890888889,0,20
14,0.888666667,0,20
15,0.886555556,0,20
16,0.882666667,0,20
17,0.878888889,0,20
18,0.870111111,0,20
19,0.863666667,0,20
20,0.858555556,0,20
