
epoch,clean_test_acc,test_asr,identification_rate
0,0.9095555555555556,0.033666666666666664,100
1,0.9095555555555556,0.033666666666666664,100
2,0.9095555555555556,0.029333333333333333,100
3,0.909,0.023888889,100
4,0.9101111111111111,0.018444444444444444,100
5,0.9106666666666666,0.015333333333333332,100
6,0.9113333333333333,0.011444444444444445,100
7,0.9123333333333333,0.008555556,100
8,0.9128888888888889,0.006,100
9,0.9132222222222223,0.004,100
10,0.9138888888888889,0.003222222,100
11,0.9145555555555556,0.002777778,100
12,0.9158888888888889,0.001888889,100
13,0.9148888888888889,0.001444444,100
14,0.9144444444444444,0.001222222,100
15,0.9152222222222223,0.001111111,100
16,0.9141111111111111,0.000666667,100
17,0.9125555555555556,0.000222222,100
18,0.9123333333333333,0.000111111,100
19,0.911,0.000111111,100
20,0.9102222222222223,0.000111111,100
0,0.9107777777777778,0.9975555555555555,80
1,0.9107777777777778,0.9975555555555555,80
2,0.9147777777777778,0.8728888888888889,80
3,0.9137777777777778,0.4652222222222222,80
4,0.9131111111111111,0.1401111111111111,80
5,0.9132222222222223,0.038333333,80
6,0.9128888888888889,0.017555555555555557,80
7,0.9135555555555556,0.011222222222222222,80
8,0.9134444444444444,0.007777778,80
9,0.913,0.005777778,80
10,0.914,0.004555556,80
11,0.9131111111111111,0.004111111,80
12,0.9136666666666666,0.003,80
13,0.9123333333333333,0.002555556,80
14,0.912,0.002555556,80
15,0.9115555555555556,0.002,80
16,0.9115555555555556,0.001666667,80
17,0.9115555555555556,0.001222222,80
18,0.9106666666666666,0.000666667,80
19,0.9098888888888889,0.000555556,80
20,0.9091111111111111,0.000333333,80
0,0.9086666666666666,0.9993333333333333,50
1,0.9086666666666666,0.9993333333333333,50
2,0.9101111111111111,0.8936666666666667,50
3,0.9113333333333333,0.41355555555555557,50
4,0.9107777777777778,0.10766666666666666,50
5,0.9105555555555556,0.035111111111111114,50
6,0.9101111111111111,0.019666666666666666,50
7,0.9098888888888889,0.013888888888888888,50
8,0.9095555555555556,0.010222222222222223,50
9,0.9092222222222223,0.008444444,50
10,0.9088888888888889,0.007444444,50
11,0.9095555555555556,0.006555556,50
12,0.9102222222222223,0.005555556,50
13,0.91,0.004777778,50
14,0.9104444444444444,0.004333333,50
15,0.9107777777777778,0.004,50
16,0.9114444444444444,0.003666667,50
17,0.9107777777777778,0.003333333,50
18,0.9112222222222223,0.002555556,50
19,0.9106666666666666,0.002333333,50
20,0.9117777777777778,0.002,50
0,0.9136666666666666,0.9995555555555555,20
1,0.9136666666666666,0.9995555555555555,20
2,0.913,0.9816666666666667,20
3,0.9135555555555556,0.8957777777777778,20
4,0.9127777777777778,0.692,20
5,0.9132222222222223,0.4513333333333333,20
6,0.912,0.2091111111111111,20
7,0.9111111111111111,0.086888889,20
8,0.9118888888888889,0.038666667,20
9,0.911,0.022777778,20
10,0.9097777777777778,0.018333333333333333,20
11,0.9102222222222223,0.016111111,20
12,0.9106666666666666,0.014,20
13,0.9103333333333333,0.013111111111111112,20
14,0.9101111111111111,0.011888888888888888,20
15,0.9102222222222223,0.009777778,20
16,0.9088888888888889,0.008666667,20
17,0.9091111111111111,0.008111111,20
18,0.9093333333333333,0.007777778,20
19,0.9082222222222223,0.007,20
20,0.9096666666666666,0.006111111,20
