epoch,clean_test_acc,test_asr,identification_rate
0,0.911111111,0.006111111,100
1,0.911111111,0.006111111,100
2,0.904888889,0.008111111,100
3,0.897888889,0.008111111,100
4,0.894777778,0.007666667,100
5,0.894444444,0.006888889,100
6,0.894,0.005777778,100
7,0.892888889,0.004444444,100
8,0.891777778,0.003222222,100
9,0.892111111,0.002666667,100
10,0.892333333,0.001777778,100
11,0.891444444,0.001444444,100
12,0.893,0.000888889,100
13,0.892888889,0.000666667,100
14,0.892888889,0.000333333,100
15,0.892888889,0.000111111,100
16,0.893555556,0.000111111,100
17,0.892666667,0.000111111,100
18,0.892555556,0.000111111,100
19,0.892111111,0.000111111,100
20,0.891555556,0,100
0,0.915111111,0.784777778,80
1,0.915111111,0.784777778,80
2,0.907555556,0.440666667,80
3,0.894111111,0.184888889,80
4,0.883555556,0.081333333,80
5,0.872888889,0.040111111,80
6,0.867,0.021666667,80
7,0.859777778,0.014555556,80
8,0.853111111,0.009,80
9,0.848111111,0.005777778,80
10,0.840777778,0.003888889,80
11,0.836333333,0.003444444,80
12,0.831888889,0.002555556,80
13,0.821777778,0.002444444,80
14,0.814555556,0.002111111,80
15,0.805555556,0.001666667,80
16,0.793666667,0.001555556,80
17,0.782333333,0.001444444,80
18,0.772333333,0.001222222,80
19,0.764777778,0.000888889,80
20,0.751,0.000555556,80
0,0.913,0.939777778,50
1,0.913,0.939777778,50
2,0.912333333,0.596777778,50
3,0.907333333,0.256333333,50
4,0.901777778,0.101555556,50
5,0.899111111,0.041222222,50
6,0.895777778,0.018,50
7,0.893555556,0.010111111,50
8,0.891555556,0.005555556,50
9,0.890111111,0.004666667,50
10,0.888,0.003555556,50
11,0.886,0.002777778,50
12,0.880666667,0.002333333,50
13,0.877111111,0.002111111,50
14,0.874222222,0.001777778,50
15,0.869222222,0.001666667,50
16,0.862222222,0.001333333,50
17,0.857333333,0.001111111,50
18,0.851333333,0.001,50
19,0.847111111,0.000777778,50
20,0.838111111,0.000222222,50
0,0.915222222,0.967888889,20
1,0.915222222,0.967888889,20
2,0.913333333,0.822555556,20
3,0.913444444,0.582888889,20
4,0.912666667,0.393666667,20
5,0.911333333,0.247555556,20
6,0.909444444,0.136444444,20
7,0.907555556,0.071222222,20
8,0.907555556,0.032,20
9,0.907111111,0.015666667,20
10,0.905444444,0.007888889,20
11,0.903777778,0.004888889,20
12,0.902888889,0.003444444,20
13,0.902777778,0.003,20
14,0.901666667,0.002555556,20
15,0.900666667,0.002333333,20
16,0.899666667,0.001777778,20
17,0.9,0.001444444,20
18,0.899333333,0.001333333,20
19,0.898777778,0.001333333,20
20,0.900555556,0.001222222,20
