Method,Identification Rate,Test Acc,ASR,Poison Ratio
No UL,NA,90.1,100,10
RNR,100,84.43,6.98,10
RNR,80,81.53,99.94,10
RNR,50,82.74,99.95,10
RNR,20,82.54,100,10
PSS,100,90.21,9.53,10
PSS,80,90.35,100,10
PSS,50,90.17,100,10
PSS,20,90.28,100,10
ABL,100,90.8,6.1,10
ABL,80,89.8,5.4,10
ABL,50,59.2,0.01,10
ABL,20,90.43,7.26,10
SSD,100,90.16,17.75,10
SSD,80,90.76,26.644,10
SSD,50,90.84,100,10
SSD,20,90.8,100,10
No UL,NA,91.11,99.95,1
RNR,100,82.7,11.3,1
RNR,80,84.04,99.17,1
RNR,50,84.27,99.31,1
RNR,20,84.43,99.63,1
PSS,100,90.533,10.61,1
PSS,80,90.53,99.92,1
PSS,50,90.56,100,1
PSS,20,90.83,99.98,1
ABL,100,91.9,4.9,1
ABL,80,89.83,90.74,1
ABL,50,90.8,95.2,1
ABL,20,91.4,99.9,1
SSD,100,88.21,1.55,1
SSD,80,89.76,1.89,1
SSD,50,90.92,4.36,1
SSD,20,91.14,4.77,1
