Method,Identification Rate,Test Acc,ASR,Poison Ratio
No UL,NA,89.32,99.95,10
RNR,100,85.25,16.89,10
RNR,80,85.78,65.5,10
RNR,50,82.73,99.03,10
RNR,20,81.93,99.94,10
PSS,100,89.16,0.6,10
PSS,80,87.96,99.98,10
PSS,50,87.47,99.96,10
PSS,20,89.34,99.84,10
ABL,100,90.2,1.3,10
ABL,80,90.2,4.01,10
ABL,50,91,6.2,10
ABL,20,91.14,96.4,10
SSD,100,81.67,9.8,10
SSD,80,84.8,20.9,10
SSD,50,89.04,99.97,10
SSD,20,89.33,100,10
No UL,NA,89.05,95.52,1
RNR,100,82.7,15.13,1
RNR,80,84.22,26.04,1
RNR,50,81.37,61.71,1
RNR,20,82.97,85.94,1
PSS,100,89.04,64.45,1
PSS,80,89.01,81.52,1
PSS,50,88.8,87.45,1
PSS,20,89.05,85.03,1
ABL,100,91.5,12.9,1
ABL,80,91.4,35.6,1
ABL,50,91.4,85.4,1
ABL,20,91.8,91.3,1
SSD,100,78.18,12.22,1
SSD,80,87.91,62.58,1
SSD,50,88.51,77.4,1
SSD,20,88.65,77.41,1
