Method,Test Acc,ASR,Number of Samples,Poison Ratio
No UL,89.32,99.95,NA,10
CFN,70.93,16.94,100,10
CFN,73.93,32.85,250,10
CFN,78.53,25,500,10
CFN,77.28,23.65,1000,10
CFN,78.12,21.28,3000,10
NAD,66.44,33.06,100,10
NAD,70.81,41.31,250,10
NAD,75.57,35.25,500,10
NAD,72.44,25.02,1000,10
NAD,84.15,21.63,3000,10
ANP,66.43,18.48,100,10
ANP,83.37,4.3,250,10
ANP,76.08,10.08,500,10
ANP,85.3,7.1,1000,10
ANP,84.7,8.19,3000,10
IBAU,0,100,100,10
IBAU,0,100,250,10
IBAU,0,100,500,10
IBAU,0,100,1000,10
IBAU,81.04,9.87,3000,10
CFU,37.13,51.24,100,10
CFU,69.28,9,250,10
CFU,73.87,32.48,500,10
CFU,74.2,13.7,1000,10
CFU,79.06,33.5,3000,10
No UL,89.05,95.52,NA,1
CFN,78.34,86.84,100,1
CFN,83.17,61.55,250,1
CFN,80.33,55.33,500,1
CFN,83.02,33.82,1000,1
CFN,82.94,47,3000,1
NAD,74.71,22.05,100,1
NAD,65.32,23.1,250,1
NAD,76.34,29.2,500,1
NAD,73.43,25.43,1000,1
NAD,81.2,27.2,3000,1
ANP,54.17,94.7,100,1
ANP,78.4,62.14,250,1
ANP,78.43,79.95,500,1
ANP,80.68,86.01,1000,1
ANP,84.81,59.722,3000,1
IBAU,11.11,0,100,1
IBAU,0,100,250,1
IBAU,0,100,500,1
IBAU,26.46,3.14,1000,1
IBAU,0,100,3000,1
CFU,77.86,53.51,100,1
CFU,73.91,21.48,250,1
CFU,78.44,28.25,500,1
CFU,82.18,28.15,1000,1
CFU,80.95,10.92,3000,1
