Method,Identification Rate,Test Acc,ASR,Poison Ratio
No Unlearning,NA,86.71,96.38,10 
RNR,100 ,83.02,2.122,10 
RNR,80 ,83.66,38.12,10 
RNR,50 ,81.32,78.12,10 
RNR,20 ,79.467,94.18,10 
PSS,100 ,84.16,1,10 
PSS,80 ,84.43,92.46,10 
PSS,50 ,85.02,93.84,10 
PSS,20 ,87.1,94.08,10 
ABL,100 ,91,1,10 
ABL,80 ,90,1,10 
ABL,50 ,90,2,10 
ABL,20 ,91,98,10 
SSD,100 ,85.03,7.45,10 
SSD,80 ,86.8,3.5,10 
SSD,50 ,86.68,4.11,10 
SSD,20 ,86.7,4.1,10 
No Unlearning,NA,86.71,96.38,1
RNR,100 ,82.9,8.4,1 
RNR,80 ,81.95,66.73,1 
RNR,50 ,84.6,95.4,1 
RNR,20 ,84.31,98.67,1 
PSS,100 ,88.85,7.1,1 
PSS,80 ,88.7,94.54,1 
PSS,50 ,88.64,98.56,1 
PSS,20 ,88.5,95.6,1 
ABL,100 ,90.9,2.9,1 
ABL,80 ,91.4,87.2,1 
ABL,50 ,91.01,89.3,1 
ABL,20 ,91.3,98.1,1 
SSD,100 ,86.73,25.92,1 
SSD,80 ,88,61.08,1 
SSD,50 ,88.43,99.9,1 
SSD,20 ,88.74,99.56,1 
