Method,Test Acc,ASR,Number of Samples,Poison Ratio
No UL,86.71,96.38,NA,10
CFN,76.722,88.256,100,10
CFN,83.389,68.722,250,10
CFN,82.767,77.022,500,10
CFN,83.189,74.467,1000,10
CFN,80.222,27.756,3000,10
NAD,79.23,6.4,100,10
NAD,80.59,3.27,250,10
NAD,79.5,4.46,500,10
NAD,82.14,3.8,1000,10
NAD,84.4,4.5,3000,10
ANP,69.878,7.322,100,10
ANP,70.178,2.967,250,10
ANP,84.622,3.144,500,10
ANP,86.289,3.367,1000,10
ANP,86.11,4.167,3000,10
IBAU,86.7,3.85,100,10
IBAU,86.4,5.27,250,10
IBAU,86,5.21,500,10
IBAU,85.4,3.53,1000,10
IBAU,80.64,4.48,3000,10
CFU,76.76,88.47,100,10
CFU,83.35,69.21,250,10
CFU,82.67,77.36,500,10
CFU,83.34,75.97,1000,10
CFU,82.47,31.64,3000,10
No UL,88.7,99.5,NA,1
CFN,81.59,97.11,100,1
CFN,83.32,89.82,250,1
CFN,79.91,99.93,500,1
CFN,81.6,86.7,1000,1
CFN,81.13,66.08,3000,1
NAD,81.3,5.8,3000,1
NAD,74.4,7.5,1000,1
NAD,68.21,7.6,500,1
NAD,65.8,7.4,250,1
NAD,62.2,15.4,100,1
ANP,66.96,96.21,100,1
ANP,43.58,75.47,250,1
ANP,47.73,97.85,500,1
ANP,70.06,93.7,1000,1
ANP,83.64,33.88,3000,1
IBAU,88.2,99.61,100,1
IBAU,87.03,98.68,250,1
IBAU,86.59,3.2,500,1
IBAU,83.7,2.16,1000,1
IBAU,78.6,4.35,3000,1
CFU,81.4,97.1,100,1
CFU,83.4,88.8,250,1
CFU,80.15,98.94,500,1
CFU,83.48,85.4,1000,1
CFU,81.04,25.7,3000,1
