Method,Test Acc,ASR,Number of Samples,Poison Ratio
No UL,91.53,99.96,NA,10
CFN,90.44,99.97,100,10
CFN,90.544,99.97,250,10
CFN,89.277,95.5999,500,10
CFN,86.37,9.68,1000,10
CFN,85.24,10.03,3000,10
NAD,62.267,9.856,100,10
NAD,68.356,0.967,250,10
NAD,79.33,3.522,500,10
NAD,82.433,1.678,1000,10
NAD,86.35,2.5,3000,10
ANP,86.2,0.778,100,10
ANP,87.96,1.378,250,10
ANP,86.45,0.84,500,10
ANP,84.3,0.62,1000,10
ANP,91.41,0.2,3000,10
IBAU,91.3,100,100,10
IBAU,86.45,45.47,250,10
IBAU,91,100,500,10
IBAU,0,100,1000,10
IBAU,86,45,3000,10
CFU,90.511,99.978,100,10
CFU,90.5,99.97,250,10
CFU,89.278,94.811,500,10
CFU,84.83,10.23,1000,10
CFU,86.68,36.63,3000,10
No UL,91.59,99.51,NA,1
CFN,91.22,15.01,100,1
CFN,91.4,8.14,250,1
CFN,91,6.45,500,1
CFN,85.23,1.16,1000,1
CFN,87.77,1.02,3000,1
NAD,62.878,0.333,100,1
NAD,72.356,0.367,250,1
NAD,84.4,0.044,500,1
NAD,82.656,0.011,1000,1
NAD,87.422,0.533,3000,1
ANP,84.87,2.51,100,1
ANP,74.16,10.28,250,1
ANP,82.45,5.28,500,1
ANP,86.87,37.68,1000,1
ANP,90.02,0.85,3000,1
IBAU,91.689,99.544,100,1
IBAU,91.4,99.589,250,1
IBAU,90.067,98.144,500,1
IBAU,89.544,98.011,1000,1
IBAU,87.933,83.789,3000,1
CFU,91.55,16.17,100,1
CFU,91.54,9.8,250,1
CFU,91.57,9.38,500,1
CFU,91.21,10.04,1000,1
CFU,91.17,7.46,3000,1
